A¤o;Mes;Provincia;Cant¢n;N£mero de Personas;Fecha de Corte
2023;9;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO DE LOS TSACHILAS;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;1;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;GUAYAS;DURAN;0;30/9/2023
2023;9;GUAYAS;DURAN;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;MORONA SANTIAGO;SUCUA;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ESMERALDAS;ESMERALDAS;0;30/9/2023
2023;9;SUCUMBIOS;NUEVA LOJA;1;30/9/2023
2023;9;ZAMORA CHINCHIPE;YANTZAZA;1;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;5;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;SUCUMBIOS;SHUSHUFINDI;3;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;0;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;4;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;6;30/9/2023
2023;9;ESMERALDAS;ESMERALDAS;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;1;30/9/2023
2023;9;CARCHI;MIRA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;CARCHI;BOLIVAR;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;PASTAZA;PASTAZA;1;30/9/2023
2023;9;NAPO;TENA;1;30/9/2023
2023;9;GUAYAS;PEDRO CARBO;0;30/9/2023
2023;9;GUAYAS;PEDRO CARBO;0;30/9/2023
2023;9;IMBABURA;COTACACHI;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;1;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;MORONA SANTIAGO;SUCUA;2;30/9/2023
2023;9;LOS RIOS;QUEVEDO;0;30/9/2023
2023;9;NAPO;TENA;1;30/9/2023
2023;9;LOS RIOS;QUEVEDO;1;30/9/2023
2023;9;CHIMBORAZO;RIOBAMBA;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;AZUAY;CUENCA;1;30/9/2023
2023;9;AZUAY;CUENCA;1;30/9/2023
2023;9;CHIMBORAZO;RIOBAMBA;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;1;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;LOJA;ESPINDOLA;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;SUCUMBIOS;NUEVA LOJA;1;30/9/2023
2023;9;PICHINCHA;QUITO;1;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;6;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;COTOPAXI;LATACUNGA;0;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;PASTAZA;PASTAZA;0;30/9/2023
2023;9;MORONA SANTIAGO;GUALAQUIZA;1;30/9/2023
2023;9;IMBABURA;IBARRA;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;GUAYAS;EL EMPALME;0;30/9/2023
2023;9;EL ORO;EL GUABO;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;LOS RIOS;QUEVEDO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;10;30/9/2023
2023;9;PICHINCHA;QUITO;1;30/9/2023
2023;9;MORONA SANTIAGO;SUCUA;1;30/9/2023
2023;9;MORONA SANTIAGO;SUCUA;1;30/9/2023
2023;9;AZUAY;CUENCA;1;30/9/2023
2023;9;AZUAY;CUENCA;1;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;2;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;SANTA ELENA;SALINAS;0;30/9/2023
2023;9;CA¥AR;LA TRONCAL;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;1;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;MORONA SANTIAGO;MACAS;1;30/9/2023
2023;9;PASTAZA;ARAJUNO;0;30/9/2023
2023;9;CA¥AR;AZOGUES;0;30/9/2023
2023;9;MORONA SANTIAGO;SAN JUAN BOSCO;0;30/9/2023
2023;9;PASTAZA;ARAJUNO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;CA¥AR;AZOGUES;0;30/9/2023
2023;9;PASTAZA;ARAJUNO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;NAPO;TENA;5;30/9/2023
2023;9;MORONA SANTIAGO;SAN JUAN BOSCO;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;1;30/9/2023
2023;9;GUAYAS;GUAYAQUIL;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;COTOPAXI;LATACUNGA;0;30/9/2023
2023;9;TUNGURAHUA;AMBATO;0;30/9/2023
2023;9;EL ORO;MACHALA;0;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;10;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;0;30/9/2023
2023;9;SUCUMBIOS;LAGO AGRIO;1;30/9/2023
2023;9;AZUAY;CUENCA;0;30/9/2023
2023;9;ORELLANA;LA JOYA DE LOS SACHAS;1;30/9/2023
2023;9;ORELLANA;PUERTO FRANCISCO DE ORELLANA;0;30/9/2023
2023;9;PICHINCHA;QUITO;0;30/9/2023
